2019-09-03 16:37:46.0099 | TRACE | GamesOfThrones.Services.ArmyService | Армия Некрополис создана.
2019-09-03 16:37:46.1729 | TRACE | GamesOfThrones.Services.ArmyService | Армия Оплот создана.
2019-09-03 16:37:54.5404 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:37:54.5544 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
2019-09-03 16:38:04.3300 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Пегас.
2019-09-03 16:38:13.2595 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Вампир.
2019-09-03 16:38:13.2595 | TRACE | GamesOfThrones.Services.GameService | Отряд Вампир нападал на отряд Пегас.
2019-09-03 16:38:13.2595 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Компьютер.
2019-09-03 16:38:13.2925 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:38:13.3065 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
2019-09-03 16:38:13.3065 | TRACE | GamesOfThrones.Services.ArmyService | Выбран список самых сильных отрядов для компьютера, где сила удара = 265. Их количество: 1
2019-09-03 16:38:13.3065 | TRACE | GamesOfThrones.Services.ArmyService | Выбран самый сильный и здоровый отряд для компьютера, где здоровье = 750.
2019-09-03 16:38:13.3065 | TRACE | GamesOfThrones.Services.ArmyService | Выбран список самых сильных отрядов для компьютера, где сила удара = 304. Их количество: 1
2019-09-03 16:38:13.3065 | TRACE | GamesOfThrones.Services.GameService | Отряд Кентавр нападал на отряд Вампир.
2019-09-03 16:38:13.3215 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Человек.
2019-09-03 16:38:13.3445 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:38:13.3585 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
2019-09-03 16:38:17.7097 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Пегас.
2019-09-03 16:38:22.6050 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Вампир.
2019-09-03 16:38:22.6050 | TRACE | GamesOfThrones.Services.GameService | Отряд Вампир нападал на отряд Пегас.
2019-09-03 16:38:22.6050 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Компьютер.
